아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
정자현대,"경기도 수원시 장안구 정자천로188번길 71-21(정자동, 현대아파트)",경기도 수원시 장안구 정자동 30-1,37.294159,126.998696,10,031-255-9123,031-307-9122,227,1989-12-14,1989-12-14,2022-07-05
동신3차,"경기도 수원시 장안구 장안로 199(정자동, 동신아파트)",경기도 수원시 장안구 정자동 304,37.300645,126.995168,15,031-245-2824,031-245-5845,330,1989-02-25,1989-12-15,2022-07-05
그린맨션,"경기도 수원시 장안구 만석로159번길 77(정자동, 그린맨션아파트)",경기도 수원시 장안구 정자동 417,37.304852,126.995656,13~15,031-244-7366,031-244-7365,282,1988-10-29,1990-02-02,2022-07-05
동진맨션,"경기도 수원시 장안구 정조로1060번길 5(송죽동, 동진맨션아파트)",경기도 수원시 장안구 송죽동 465,37.301247,127.004596,15,031-248-1327,031-248-1327,180,1989-03-05,1990-04-12,2022-07-05
세류현대,"경기도 수원시 권선구 세지로 97(세류동, 현대아파트)",경기도 수원시 권선구 세류동 846-1,37.260541,127.017802,10,031-237-3389,031-237-3387,276,1989-02-28,1990-04-30,2022-07-05
선경,"경기도 수원시 권선구 여기산로 19(구운동, 선경아파트)",경기도 수원시 권선구 구운동 466,37.279143,126.978015,10,031-293-5886,031-8002-5886,260,1989-05-20,1990-05-24,2022-07-05
임광,"경기도 수원시 영통구 동수원로 316(매탄동, 임광아파트)",경기도 수원시 영통구 매탄동 1162,37.258438,127.038336,15,031-237-7374,031-238-1884,1320,1989-06-23,1990-12-28,2022-07-05
강남,"경기도 수원시 권선구 수성로 18(구운동, 강남아파트)",경기도 수원시 권선구 구운동 463,37.282021,126.97613,10~15,031-294-0744,031-293-5626,552,1989-09-18,1991-02-12,2022-07-05
화남2차,"경기도 수원시 장안구 파장천로44번길 33(파장동, 화남아파트)",경기도 수원시 장안구 파장동 470,37.309133,126.998004,11,031-251-8188,031-252-8189,203,1991-05-01,1991-05-24,2022-07-05
정자신미주,"경기도 수원시 장안구 수성로275번길 133(정자동, 신미주아파트)",경기도 수원시 장안구 정자동 29-1,37.295154,126.998107,15,031-252-8762,031-244-8199,189,1990-03-28,1991-08-13,2022-07-05
수정,"경기도 수원시 팔달구 장다리로306번길 45(인계동, 수정아파트)",경기도 수원시 팔달구 인계동 303-3,37.273054,127.030566,8~19,031-215-7284,031-215-7285,166,,2009-02-16,2022-07-05
화서벽산,"경기도 수원시 팔달구 팔달로165번길 39(화서동, 벽산아파트)",경기도 수원시 팔달구 화서동 11-41,37.283419,127.003758,9~15,031-251-9979,031-252-5504,238,1991-11-20,1991-11-20,2022-07-05
한효,"경기도 수원시 권선구 세권로196번길 22(권선동, 한효아파트)",경기도 수원시 권선구 권선동 1063-1,37.254178,127.024774,10,031-239-6495,031-239-6496,240,1990-12-26,1991-11-23,2022-07-05
우만주공4단지,"경기도 수원시 팔달구 창룡대로 194(우만동, 주공4단지아파트)",경기도 수원시 팔달구 우만동 300-2,37.291777,127.02978,15,031-247-9384,031-247-9245,1152,1990-02-28,1992-03-20,2022-07-05
삼환,"경기도 수원시 권선구 수성로 47(구운동, 삼환아파트)",경기도 수원시 권선구 구운동 462,37.283328,126.978763,15,031-296-0863,031-292-8349,1680,1989-10-17,1991-04-16,2022-07-05
동남빌라,"경기도 수원시 영통구 매영로 9(매탄동, 동남빌라)",경기도 수원시 영통구 매탄동 197,37.271792,127.044595,4,031-215-0772,031-216-0773,496,1991-02-22,1992-07-21,2022-07-05
원천1차삼성,"경기도 수원시 영통구 삼성로268번길 8(원천동, 원천1차삼성아파트)",경기도 수원시 영통구 원천동 333-4,37.264967,127.062765,9~15,031-214-6676,031-211-6243,684,1991-04-26,1992-12-10,2022-07-05
원천성일,"경기도 수원시 영통구 동탄원천로1109번길 42(매탄동, 원천성일아파트)",경기도 수원시 영통구 매탄동 13-6,37.270264,127.05611,10,031-215-3663,031-215-9121,850,1991-05-24,1992-12-18,2022-07-05
화서영광,"경기도 수원시 팔달구 덕영대로757번길 10(화서동, 영광아파트)",경기도 수원시 팔달구 화서동 220-4,37.279087,126.993622,20,031-254-0703,031-254-3471,459,1992-12-20,1993-04-21,2022-07-05
선경1차,"경기도 수원시 팔달구 권광로317번길 12(인계동, 선경1차아파트)",경기도 수원시 팔달구 인계동 163,37.276262,127.037038,17,031-215-6010,031-216-6010,360,1991-08-21,1993-06-28,2022-07-05
권선삼성,"경기도 수원시 권선구 경수대로302번길 29(권선동, 권선삼성아파트)",경기도 수원시 권선구 권선동 1185-2,37.253472,127.023051,8~10,031-234-2217,031-239-0111,634,1992-03-23,1993-07-01,2022-07-05
한국2차,"경기도 수원시 영통구 매영로 84(매탄동, 한국아파트)",경기도 수원시 영통구 매탄동 917-12,37.2682,127.050043,6,031-216-2470,031-304-2470,768,1992-07-26,1993-10-29,2022-07-05
신현대,"경기도 수원시 권선구 권광로27번길 22(권선동, 신현대아파트)",경기도 수원시 권선구 권선동 1187-1,37.250884,127.026697,11,031-239-0799,031-8001-0799,188,1992-05-26,1993-11-03,2022-07-05
매탄삼성3차,"경기도 수원시 영통구 동탄원천로 1035(매탄동, 매탄삼성3차아파트)",경기도 수원시 영통구 매탄동 1228-10,37.265028,127.049826,5,031-215-9063,031-212-0944,595,1992-12-30,1993-12-09,2022-07-05
금성,"경기도 수원시 영통구 동탄원천로 1089(매탄동, 금성아파트)",경기도 수원시 영통구 매탄동 1211-1,37.267838,127.055169,6,031-216-1456,031-216-1455,180,1992-10-08,1993-12-10,2022-07-05
한국1차,"경기도 수원시 영통구 동탄원천로1109번길 37(매탄동, 한국아파트)",경기도 수원시 영통구 매탄동 1228-11,37.269571,127.056952,9,031-215-5467,031-308-5467,496,1992-01-24,1994-01-17,2022-07-05
두산.동아,"경기도 수원시 권선구 덕영대로1217번길 24(권선동, 두산동아아파트) ",경기도 수원시 권선구 권선동 1199-1,37.249528,127.024813,10~12,031-221-8643,031-221-8645,714,1992-10-13,1994-04-25,2022-07-05
삼천리권선1차,"경기도 수원시 권선구 권광로27번길 62(권선동, 삼천리권선1차아파트)",경기도 수원시 권선구 권선동 1186,37.251388,127.024575,9~11,031-231-9405,031-223-7438,496,1992-07-01,1994-05-09,2022-07-05
신명,"경기도 수원시 권선구 경수대로302번길 7(권선동, 신명아파트)",경기도 수원시 권선구 권선동 1185,37.254272,127.021646,12,031-221-9459,031-302-7007,156,1993-03-26,1994-07-23,2022-07-05
권선벽산,"경기도 수원시 권선구 권중로 158(권선동, 벽산아파트)",경기도 수원시 권선구 권선동 1270,37.250669,127.033067,12~14,031-235-2505,031-235-2502,368,1994-07-26,1994-07-26,2022-07-05
신미주,"경기도 수원시 권선구 금호로 14-8(호매실동, 신미주아파트)",경기도 수원시 권선구 호매실동 452,37.268085,126.953197,11~15,031-294-1697,031-294-3697,178,1992-07-22,1994-08-02,2022-07-05
권선한양,"경기도 수원시 권선구 경수대로302번길 22(권선동, 권선한양아파트)",경기도 수원시 권선구 권선동 1188,37.253122,127.021354,12~13,031-221-0575,031-221-0522,664,1993-02-04,1994-08-26,2022-07-05
성지,"경기도 수원시 권선구 경수대로302번길 32(권선동, 성지아파트)",경기도 수원시 권선구 권선동 1188-2,37.252715,127.022297,13,031-221-1741,031-234-9488,650,1992-07-29,1994-11-18,2022-07-05
신미주,"경기도 수원시 권선구 금호로15번길 15(금곡동, 신미주아파트)",경기도 수원시 권선구 금곡동 262-27,37.270063,126.952995,19,031-296-3735,031-294-3735,646,1991-12-02,1994-12-01,2022-07-05
삼익1차,"경기도 수원시 권선구 금호로 45(금곡동, 삼익1차아파트)",경기도 수원시 권선구 금곡동 241,37.269823,126.956352,12~18,031-294-4082,031-294-4081,400,1993-04-20,1995-05-29,2022-07-05
한주,"경기도 수원시 권선구 정조로514번길 32(세류동, 한주아파트)",경기도 수원시 권선구 세류동 1021-4,37.254906,127.012718,9,031-221-8235,031-221-8236,180,1993-11-17,1995-06-28,2022-07-05
선경,"경기도 수원시 팔달구 중부대로223번길 27(우만동, 선경아파트)",경기도 수원시 팔달구 우만동 105,37.277545,127.040249,17~18,031-213-1733,031-890-1733,372,1993-06-14,1995-10-30,2022-07-05
거산,"경기도 수원시 권선구 서수원로591번길 43(금곡동, 거산아파트)",경기도 수원시 권선구 금곡동 104-3,37.277916,126.952787,15,031-293-9196,031-297-9196,237,1993-09-01,1995-11-27,2022-07-05
벽산.한성,"경기도 수원시 권선구 권중로 99(권선동, 벽산한성아파트)",경기도 수원시 권선구 권선동 1267,37.250265,127.029312,10~11,031-239-4285,031-235-2750,562,1994-07-01,1995-12-26,2022-07-05
우만삼성,"경기도 수원시 팔달구 아주로 17(우만동, 삼성아파트)",경기도 수원시 팔달구 우만동 76-7,37.276394,127.043261,2~15,031-215-5529,031-215-5868,173,1994-04-22,1995-12-26,2022-07-05
삼천리권선2차,"경기도 수원시 권선구 매탄로 25(권선동, 삼천리권선2차아파트)",경기도 수원시 권선구 권선동 1238,37.253934,127.038394,12,031-302-8198,031-898-8198,546,1994-07-20,1996-02-02,2022-07-05
신호,"경기도 수원시 장안구 대평로162번길 11(정자동, 신호아파트) ",경기도 수원시 장안구 정자동 840-99,37.302407,126.989659,19,031-257-9166,031-269-9167,173,1996-12-09,1996-02-09,2022-07-05
보성.유원,"경기도 수원시 권선구 권중로 110(권선동, 보성,유원아파트)",경기도 수원시 권선구 권선동 1265,37.249367,127.027081,12,031-236-4806,031-235-6080,1200,1994-07-07,1996-02-28,2022-07-05
권선현대,"경기도 수원시 권선구 매탄로 11(권선동, 현대아파트)",경기도 수원시 권선구 권선동 1240,37.253435,127.037749,15,031-223-1576,031-224-1576,809,1994-07-05,1996-04-25,2022-07-05
신우,"경기도 수원시 권선구 권중로 82(권선동, 신우아파트)",경기도 수원시 권선구 권선동 1263,37.251556,127.029027,11~12,031-224-2644,031-224-1462,518,1994-07-26,1996-04-26,2022-07-05
세류성원,"경기도 수원시 권선구 정조로 618(세류동, 세류성원아파트)",경기도 수원시 권선구 세류동 145-1,37.263481,127.015731,12,031-224-1736,031-224-7801,366,1994-09-01,1996-04-30,2022-07-05
신동아,"경기도 수원시 권선구 권중로 136(권선동, 신동아아파트)",경기도 수원시 권선구 권선동 1274,37.248982,127.031945,12,031-224-0506,031-224-1077,1020,1994-07-25,1996-04-30,2022-07-05
인계삼성,"경기도 수원시 팔달구 권광로276번길 9(인계동, 삼성아파트)",경기도 수원시 팔달구 인계동 371-1,37.272467,127.03653,20,031-213-0843,031-213-4360,582,1993-11-27,1996-04-30,2022-07-05
선경3차,"경기도 수원시 팔달구 권광로317번길 15(인계동, 선경3차아파트)",경기도 수원시 팔달구 인계동 159,37.275583,127.035778,17,031-213-6535,031-213-6545,604,1993-04-30,1996-04-30,2022-07-05
풍림·신안,"경기도 수원시 권선구 권중로 31(권선동, 풍림,신안아파트)",경기도 수원시 권선구 권선동 1235,37.254255,127.03284,13~14,031-223-6904,031-223-6905,552,1994-07-01,1996-06-24,2022-07-05
원천신미주,"경기도 수원시 영통구 삼성로 308(원천동, 신미주아파트)",경기도 수원시 영통구 원천동 300-3,37.266849,127.067581,14~20,031-212-0785,031-212-0786,275,1994-03-07,1996-10-02,2022-07-05
금곡강남,"경기도 수원시 권선구 서수원로 607(금곡동, 강남아파트)",경기도 수원시 권선구 금곡동 801-18,37.279214,126.953625,20,031-296-6073,031-296-6074,794,1993-12-29,1996-12-10,2022-07-05
삼정,"경기도 수원시 권선구 당진로14번길 46(당수동, 삼정아파트)",경기도 수원시 권선구 당수동 730-1,37.289511,126.944004,8~20,031-419-9244,031-419-9245,898,1994-11-26,1997-02-28,2022-07-05
화서주공4단지,"경기도 수원시 팔달구 덕영대로697번길 48(화서동, 화서주공아파트)",경기도 수원시 팔달구 화서동 650,37.284544,126.991972,15~20,031-255-4795,031-255-4796,1314,1994-12-30,1997-03-27,2022-07-05
화서주공3단지,"경기도 수원시 팔달구 덕영대로697번길 47(화서동, 화서3단지주공아파트) ",경기도 수원시 팔달구 화서동 646-1,37.285902,126.993107,18,031-252-8533,031-306-8534,582,1994-11-16,1997-04-09,2022-07-05
화서주공5단지,"경기도 수원시 팔달구 덕영대로697번길 48(화서동, 화서주공아파트)",경기도 수원시 팔달구 화서동 650,37.284544,126.991972,15~20,031-258-6345,031-241-3267,386,1997-05-02,1997-05-02,2022-07-05
영화동성,경기도 수원시 장안구 정조로 941(영화동),경기도 수원시 장안구 영화동 308-1,37.291283,127.011911,18,031-242-4136,031-247-0806,178,1994-05-19,1997-05-10,2022-07-05
삼성미도,"경기도 수원시 장안구 대평로162번길 50(정자동, 삼성미도아파트)",경기도 수원시 장안구 정자동 846-22,37.302607,126.992329,20,031-244-8131,031-306-8131,251,1995-03-08,1997-08-09,2022-07-05
호매실GS,"경기도 수원시 권선구 매실로 70(호매실동, 호매실GS아파트)",경기도 수원시 권선구 호매실동 99-1,37.268329,126.958469,20,031-297-4973,031-297-4974,1754,1994-09-29,1997-09-28,2022-07-05
천천일성,"경기도 수원시 장안구 정자로19번길 18(천천동, 천천일성아파트)",경기도 수원시 장안구 천천동 569,37.300693,126.97941,15,031-271-0267,031-271-0265,401,1995-05-19,1997-09-30,2022-07-05
청명주공,"경기도 수원시 영통구 청명북로 81(영통동, 청명마을주공아파트)",경기도 수원시 영통구 영통동 1048-2,37.258863,127.079878,20,031-202-2015,031-202-2141,946,1994-12-23,1997-11-10,2022-07-05
벽적골주공2단지(8단지2),"경기도 수원시 영통구 영통로290번길 26(영통동, 벽적골주공 휴먼시아8단지)",경기도 수원시 영통구 영통동 972-9,37.250926,127.062588,20,031-202-2019,031-204-8306,600,1994-12-23,1997-11-15,2022-07-05
벽적골주공1단지(8단지1),"경기도 수원시 영통구 영통로290번길 28(영통동, 벽적골주공 휴먼시아8단지)",경기도 수원시 영통구 영통동 972-8,37.251254,127.062212,18~20,031-202-2018,031-204-7509,948,1995-05-20,1997-11-27,2022-07-05
천천현대,"경기도 수원시 장안구 하률로46번길 17(천천동, 현대아파트)",경기도 수원시 장안구 천천동 568,37.302694,126.978513,13~15,031-271-1599,031-306-1599,594,1995-06-10,1997-11-28,2022-07-05
신일,"경기도 수원시 장안구 화산로 263(율전동, 신일아파트)",경기도 수원시 장안구 율전동 496-2,37.299366,126.967568,19~20,031-297-5377,031-297-2013,824,1995-05-04,1997-12-03,2022-07-05
신명.한국,"경기도 수원시 영통구 봉영로1770번길 21(영통동, 신명.한국아파트)",경기도 수원시 영통구 영통동 1054-4,37.267417,127.083081,20,031-203-1063,031-205-0593,952,1995-03-15,1997-12-06,2022-07-05
황골마을주공1단지,"경기도 수원시 영통구 영통로 498(영통동, 황골마을주공1단지아파트)",경기도 수원시 영통구 영통동 955-8,37.263226,127.078539,15~20,031-202-2013,031-202-1043,3129,1994-12-23,1997-12-06,2022-07-05
오목천태산,"경기도 수원시 권선구 매송고색로533번길 7(오목천동, 태산아파트)",경기도 수원시 권선구 오목천동 923-18,37.24558,126.962104,19~20,031-291-4811,031-296-4811,278,1995-02-09,1997-12-10,2022-07-05
삼성태영,"경기도 수원시 영통구 봉영로1517번길 73(영통동, 삼성.태영아파트)",경기도 수원시 영통구 영통동 969-1,37.249736,127.064642,18,031-202-0665,031-202-2391,832,1995-04-27,1997-12-12,2022-07-05
벽산.풍림,"경기도 수원시 영통구 봉영로1744번길 11(영통동, 벽산.,풍림아파트)",경기도 수원시 영통구 영통동 1053-4,37.266638,127.083052,17~20,031-203-2863,031-203-2864,928,1995-04-13,1997-12-12,2022-07-05
벽산삼익,"경기도 수원시 영통구 청명로 132(영통동, 벽산삼익아파트)",경기도 수원시 영통구 영통동 957-7,37.257433,127.074371,17~20,031-202-0595,031-203-3348,1242,1995-04-01,1997-12-12,2022-07-05
연무신미주,"경기도 수원시 장안구 광교산로 148(연무동, 신미주아파트)",경기도 수원시 장안구 연무동 4-9,37.300352,127.031454,20,031-246-5730,031-892-4758,300,1994-05-06,1997-12-14,2022-07-05
신나무실주공5단지,"경기도 수원시 영통구 영통로290번길 25(영통동, 신나무실주공단지)",경기도 수원시 영통구 영통동 964-5,37.251605,127.062723,15~20,031-206-2018,031-206-2104,1504,1995-12-15,1997-12-15,2022-07-05
두산.우성.한신,"경기도 수원시 영통구 영통로 232(영통동, 두산.우성.한신 아파트)",경기도 수원시 영통구 영통동 973-3,37.24842,127.058485,18~20,031-203-2036,031-309-2038,1842,1995-02-28,1997-12-15,2022-07-05
한진현대,"경기도 수원시 팔달구 덕영대로735번길 18(화서동, 한진현대아파트)",경기도 수원시 팔달구 화서동 657,37.28136,126.992587,20,031-258-4910,031-258-4913,516,1995-11-04,1997-12-15,2022-07-05
신성.신안.쌍용.진흥,"경기도 수원시 영통구 매영로310번길 12(영통동, 신성.신안.쌍용.진흥아파트)",경기도 수원시 영통구 영통동 963-2,37.253736,127.066448,16~20,031-203-8717,031-203-8718,1616,1995-07-28,1997-12-16,2022-07-05
고색1차태산,"경기도 수원시 권선구 매송고색로673번길 11(고색동, 고색1차태산아파트)",경기도 수원시 권선구 고색동 886-83,37.250499,126.977459,15,031-297-9481,031-297-9870,623,1995-05-18,1997-12-17,2022-07-05
신안한일,"경기도 수원시 장안구 하률로30번길 22(천천동, 신안한일)",경기도 수원시 장안구 천천동 564,37.302627,126.975104,16-17,031-271-2461,031-271-3047,456,1995-07-22,1997-12-17,2022-07-05
동보.신명,경기도 수원시 영통구 봉영로1517번길 76,경기도 수원시 영통구 영통동 968,37.25105346,127.0645368,18~20,031-203-0805,031-203-1771,836,1997-12-19,1997-12-19,2022-07-05
 율전 화남,경기도 수원시 장안구 화산로285번길 12,경기도 수원시 장안구 율전동 334-49,37.30028647,126.9644078,20,031-297-9711,031-892-9711,200,1995-09-18,1997-12-24,2022-07-05
고색2차태산,경기도 수원시 권선구 매송고색로691번길 9,경기도 수원시 권선구 고색동 890-286,37.25144805,126.9799129,15,031-297-8994,031-297-9006,450,1995-06-20,1998-01-20,2022-07-05
진덕·서광·성지·동아,경기도 수원시 영통구 봉영로 1526,경기도 수원시 영통구 영통동 988-9,37.24851981,127.0696446,16~20,031-202-2654,031-202-2655,1248,1995-02-08,1998-01-26,2022-07-05
대한,경기도 수원시 권선구 서부로 1534,경기도 수원시 권선구 고색동 864-52,37.24646685,126.9786224,11~16,031-297-5687,031-297-0198,713,1995-05-08,1998-01-31,2022-07-05
쌍용,경기도 수원시 영통구 봉영로1744번길 16,경기도 수원시 영통구 영통동 1052-2,37.26436822,127.0828537,20,031-203-6197,031-203-6198,872,1995-10-20,1998-03-10,2022-07-05
삼호진덕,경기도 수원시 장안구 하률로46번길 22,경기도 수원시 장안구 천천동 565-1,37.30267863,126.9776435,15,031-306-3098,031-306-3097,789,1996-03-13,1998-03-20,2022-07-05
매탄우성,경기도 수원시 영통구 권광로290번길 34-18,경기도 수원시 영통구 매탄동 164-13,37.27328508,127.0380732,16,031-211-6585,031-211-0595,230,1993-10-25,1998-04-21,2022-07-05
현대,경기도 수원시 영통구 매영로 366,경기도 수원시 영통구 영통동 989-8,37.25066343,127.0716869,18~20,031-204-2832,031-204-8532,612,1995-12-20,1998-05-28,2022-07-05
늘푸른벽산,경기도 수원시 장안구 율전로101번길 40,경기도 수원시 장안구 율전동 496-7,37.29894416,126.966767,18,031-295-8662,031-295-8661,183,1995-10-20,1998-06-12,2022-07-05
삼익3차,경기도 수원시 권선구 서수원로 589,경기도 수원시 권선구 금곡동 79,37.27735377,126.9548596,18,031-295-7220,031-296-7221,712,1994-03-26,1998-06-23,2022-07-05
삼익2차,경기도 수원시 권선구 매실로 61,경기도 수원시 권선구 호매실동 82-5,37.26876281,126.9578151,14~20,031-295-5848,031-296-5848,354,1993-12-09,1998-06-23,2022-07-05
동신,경기도 수원시 영통구 영통로 460,경기도 수원시 영통구 영통동 956-3,37.26014439,127.0758794,20,031-203-9216,031-203-9217,492,1995-11-01,1998-06-23,2022-07-05
대우,경기도 수원시 영통구 영통로 460,경기도 수원시 영통구 영통동 956-3,37.26014439,127.0758794,18~20,031-204-6374,031-204-6375,492,1995-11-01,1998-06-26,2022-07-05
쌍용,경기도 수원시 권선구 매실로19번길 19,경기도 수원시 권선구 호매실동 468,37.26799606,126.9526794,12~18,031-291-3378,031-307-3378,294,1996-05-15,1998-07-29,2022-07-05
대원,경기도 수원시 권선구 고산로6번길 45,경기도 수원시 권선구 고색동 291,37.24839865,126.9847255,7~14,031-297-9611,031-295-9614,474,1996-12-10,1998-08-05,2022-07-05
율전삼성2단지,경기도 수원시 장안구 서부로 2067,경기도 수원시 장안구 율전동 419,37.29342323,126.9687198,20,031-295-6631,031-295-3770,700,1996-06-25,1998-08-28,2022-07-05
율전삼성1단지,경기도 수원시 장안구 서부로 2065,경기도 수원시 장안구 율전동 468,37.29109887,126.9692623,18~20,031-292-7333,031-292-7337,364,1996-06-07,1998-08-28,2022-07-05
삼성,경기도 수원시 권선구 탑동로58번길 8,경기도 수원시 권선구 탑동 763,37.27463191,126.974912,7~13,031-295-0053,031-295-0053,299,1997-05-24,1998-09-24,2022-07-05
극동,경기도 수원시 영통구 매봉로27번길 11,경기도 수원시 영통구 매탄동 50,37.26939399,127.0517095,7~10,031-215-4315,031-216-7642,210,1997-03-03,1998-10-30,2022-07-05
인정프린스,경기도 수원시 권선구 당진로15번길 53,경기도 수원시 권선구 당수동 287,37.29198665,126.9382951,5~23,031-416-1065,031-506-1061,481,1996-05-02,1998-11-09,2022-07-05
일신건영,경기도 수원시 권선구 매곡로 68,경기도 수원시 권선구 금곡동 252,37.27051615,126.9551341,16~19,031-297-6262,031-891-6240,237,1996-03-07,1998-11-11,2022-07-05
금곡엘지,경기도 수원시 권선구 금곡로 45,경기도 수원시 권선구 금곡동 530,37.27134191,126.9377122,18~20,031-297-3181,031-297-3183,3234,1996-04-26,1998-11-28,2022-07-05
건영1차,경기도 수원시 영통구 청명로 100,경기도 수원시 영통구 영통동 1047-1,37.25578469,127.0771421,19,031-205-6853,031-205-6854,502,1996-03-05,1999-02-18,2022-07-05
연무성원,경기도 수원시 장안구 창훈로60번길 31,경기도 수원시 장안구 연무동 197-21,37.29850628,127.0294033,10~13,031-251-8430,031-251-8430,177,1997-01-29,1999-02-22,2022-07-05
황골주공2단지,경기도 수원시 영통구 영통로514번길 53,경기도 수원시 영통구 영통동 948-8,37.26491233,127.0813304,15~20,031-204-3799,031-204-3791,1190,1995-12-20,1999-05-07,2022-07-05
동성,경기도 수원시 권선구 매곡로 100,경기도 수원시 권선구 금곡동 243,37.27085968,126.9560023,16~20,031-295-8881,031-307-6712,219,1994-12-31,1999-06-25,2022-07-05
한일타운,경기도 수원시 장안구 경수대로976번길 22,경기도 수원시 장안구 조원동 891,37.30632759,127.0047182,16~24,031-244-0256,031-247-0965,5282,1996-05-10,1999-06-30,2022-07-05
세류삼익,경기도 수원시 권선구 세지로 99,경기도 수원시 권선구 세류동 840,37.26095392,127.0175577,11~12,031-223-1933,031-223-1934,344,1996-12-30,1999-07-15,2022-07-05
