아파트명,도로명 주소,연면적,세대수,위도,경도,관리사무소 전화번호,관리사무소 팩스번호,관리기관명,관리기관전화번호,데이터기준일자
생연주공(고층),경기도 동두천시 중앙로 424,38474,504,37.912837,127.064701,031-862-6783,031-861-6783,경기도 동두천시청 건축과,031-860-2446,2022-06-24
생연주공(저층),경기도 동두천시 삼육사로 1029,15222,300,37.899727,127.064639,031-865-8963,031-865-8963,경기도 동두천시청 건축과,031-860-2446,2022-06-24
세아,경기도 동두천시 큰시장로 64,47756,240,37.900723,127.050584,031-862-3254,031-861-3254,경기도 동두천시청 건축과,031-860-2446,2022-06-24
송내대방7/8,경기도 동두천시 거북마루로 64,84251,852,37.895557,127.053551,031-857-9310,031-857-9313,경기도 동두천시청 건축과,031-860-2446,2022-06-24
송내주공1단지,경기도 동두천시 지행로 16,189073,1862,37.892171,127.049079,031-858-0742,031-859-0743,경기도 동두천시청 건축과,031-860-2446,2022-06-24
송내주공2단지,경기도 동두천시 동두천로 89,68367,878,37.888932,127.054282,031-864-9390,031-864-9392,경기도 동두천시청 건축과,031-860-2446,2022-06-24
송내주공3단지,경기도 동두천시 중앙로 41,90732,1018,37.885598,127.050926,031-857-9817,031-827-9817,경기도 동두천시청 건축과,031-860-2446,2022-06-24
송내주공4단지,경기도 동두천시 동두천로 63,111296,1386,37.886885,127.054081,031-857-4001,031-857-4002,경기도 동두천시청 건축과,031-860-2446,2022-06-24
송내주공5단지,경기도 동두천시 동두천로 27,69627,577,37.883965,127.053914,031-862-5536,031-862-5537,경기도 동두천시청 건축과,031-860-2446,2022-06-24
에이스1단지,경기도 동두천시 행선로 100-21,30883,292,37.897011,127.063923,031-863-1687,031-864-1687,경기도 동두천시청 건축과,031-860-2446,2022-06-24
에이스2단지,경기도 동두천시 행선로 100-9,33850,286,37.897059,127.063343,031-867-7872,031-867-7873,경기도 동두천시청 건축과,031-860-2446,2022-06-24
에이스3단지,경기도 동두천시 행선로 123-19,30836,270,37.898113,127.062101,031-867-7171,031-867-7175,경기도 동두천시청 건축과,031-860-2446,2022-06-24
에이스4단지,경기도 동두천시 행선로 123-49,26047,246,37.896982,127.061593,031-865-0669,031-866-0669,경기도 동두천시청 건축과,031-860-2446,2022-06-24
에이스5단지,경기도 동두천시 삼육사로1002번길 47,48862,391,37.896973,127.060491,031-868-6434,031-868-6435,경기도 동두천시청 건축과,031-860-2446,2022-06-24
우성,경기도 동두천시 송터로 21,15641,163,37.908658,127.062559,031-867-1516,031-867-1516,경기도 동두천시청 건축과,031-860-2446,2022-06-24
지행주공1단지,경기도 동두천시 삼육사로1002번길 93,23882,269,37.895302,127.059931,031-862-3090,031-862-3091,경기도 동두천시청 건축과,031-860-2446,2022-06-24
지행주공2단지,경기도 동두천시 평화로 2316-13,46089,491,37.894491,127.058645,031-867-4093,031-867-4094,경기도 동두천시청 건축과,031-860-2446,2022-06-24
지행현대,경기도 동두천시 평화로 2316-20,43221,373,37.894014,127.058777,031-863-2380,031-863-2381,경기도 동두천시청 건축과,031-860-2446,2022-06-24
현대아이파크,경기도 동두천시 강변로 160,73527,424,37.885478,127.049371,031-864-7506,031-864-7507,경기도 동두천시청 건축과,031-860-2446,2022-06-24
현진에버빌,경기도 동두천시 생연로 10,103753,628,37.894027,127.049215,031-861-8802,031-861-8803,경기도 동두천시청 건축과,031-860-2446,2022-06-24
지행역휴먼빌,경기도 동두천시 행선로 52,48248,272,37.893178,127.061334,031-857-0143,031-857-0144,경기도 동두천시청 건축과,031-860-2446,2022-06-24
동원베네스트,경기도 동두천시 이담로 89,74500,486,37.888793,127.058321,031-868-2208,031-868-2209,경기도 동두천시청 건축과,031-860-2446,2022-06-24
월드메르디앙,경기도 동두천시 장고갯로 116,52941,361,37.905052,127.064572,031-866-6031,031-866-6032,경기도 동두천시청 건축과,031-860-2446,2022-06-24
"신창비바1,2단지","경기도 동두천시 강변로664번길 45,46",72282,485,37.926312,127.052815,031-859-6785,031-859-6784,경기도 동두천시청 건축과,031-860-2446,2022-06-24
신창3단지,경기도 동두천시 강변길664번길 25,34509,221,37.915482,127.065327,031-866-3088,031-866-3087,경기도 동두천시청 건축과,031-860-2446,2022-06-24
동양엔파트,경기도 동두천시 행선로20번길 43,76457,500,37.889216,127.063874,031-865-9572,031-866-9573,경기도 동두천시청 건축과,031-860-2446,2022-06-24
브라운스톤,경기도 동두천시 장고갯로 23,45636,278,37.897672,127.058832,031-861-1934,031-862-1934,경기도 동두천시청 건축과,031-860-2446,2022-06-24
에코휴먼빌2차,경기도 동두천시 이담로 161,72701,492,37.888513,127.066134,031-863-9993,031-863-9994,경기도 동두천시청 건축과,031-860-2446,2022-06-24
센트레빌,경기도 동두천시 생연로 91,47457,376,37.900463,127.049547,031-867-2474,031-867-2475,경기도 동두천시청 건축과,031-860-2446,2022-06-24
