관리구분,분양임대,행정구역,지번주소,도로명주소,Latitude,Longitude,단지명,주택종류,사용검사일,층수,동수,세대수,관리사무소전화번호,비고,우편번호,데이터기준일자
임의,분양,파주읍,파주읍 파주리 404-1,경기도 파주시 파주읍 파발로 15-13,37.833377,126.818544,파주연립,연립,1986-12-03,3,2,36,,,10835,2022-11-09
임의,분양,파주읍,파주읍 연풍리 433-1,경기도 파주시 파주읍 연풍초교길 2,37.8300974,126.8333614,황해연립,연립,1986-12-04,3,2,45,,,10834,2022-11-09
임의,분양,금촌동,금촌동 20-26,경기도 파주시 온정길 5,37.7677744,126.7755813,에덴주택,연립,1986-12-23,3,1,12,,,10854,2022-11-09
임의,분양,파주읍,파주읍 연풍리 420-1,경기도 파주시 파주읍 연풍리 420-7,37.8311675,126.8337978,동산연립,연립,1986-12-29,3,3,36,,,10834,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 138-1,경기도 파주시 조리읍 순비골길 10,37.7419695,126.8107333,"태양연립(다,라동)",연립,1987-01-10,3,2,36,,,10937,2022-11-09
임의,분양,금촌1동,아동동 321,경기도 파주시 원앙길 32,37.7651058,126.7760294,장안연립(3차),연립,1987-01-27,3,1,38,,,10930,2022-11-09
임의,분양,문산읍,문산읍 당동리 76,경기도 파주시 문산읍 봉미로32번길 15,37.8634188,126.7856378,강심연립,연립,1987-06-04,2,5,81,,,10814,2022-11-09
임의,분양,문산읍,문산읍 당동리 91-7,경기도 파주시 문산읍 봉미로 44,37.8636269,126.7846752,산호,아파트,1987-09-24,5,2,80,031-953-2816,,10815,2022-11-09
임의,분양,광탄면,광탄면 신산리 205-2,경기도 파주시 광탄면 만장산로 59,37.7809708,126.8532712,신산연립,연립,1987-10-26,3,2,45,,,10948,2022-11-09
임의,분양,적성면,적성면 마지리 168-1,경기도 파주시 적성면 솥뒤로33번길 34,37.9558766,126.9149164,청학연립,연립,1988-07-14,3,2,33,,,10803,2022-11-09
임의,분양,월롱면,월롱면 영태리 581-2,경기도 파주시 월롱면 한태말길 26,37.7778988,126.7904108,영태연립,연립,1988-10-07,3,2,33,,,10945,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 157-1,경기도 파주시 조리읍 공릉장터길27,37.7430091,126.8058174,"무궁화(가,나동)",아파트,1988-10-15,5,2,80,031-943-2158,,10937,2022-11-09
임의,분양,금촌1동,금촌동 769-5,경기도 파주시 시민회관길13-11,37.7591112,126.7786952,귀빈,아파트,1988-10-31,5,2,70,,,10932,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 157-11,경기도 파주시 조리읍 송비말길 26,37.7426148,126.8054992,무궁화(다동),아파트,1988-12-10,5,1,50,031-943-2158,,10937,2022-11-09
임의,분양,운정1동,상지석동 977-6,"경기도 파주시 운정로 11(상지석동, 서부주택)",37.7263845,126.7695182,서부주택,연립,1988-12-30,3,4,66,,,10910,2022-11-09
임의,분양,법원읍,법원읍 법원리 448-26,경기도 파주시 법원읍 사임당로905번길 56,37.8490923,126.8794131,궁전연립,연립,1989-02-18,3,1,36,,,10826,2022-11-09
임의,분양,법원읍,법원읍 법원리 425-1,경기도 파주시 법원읍 사임당로902번길 13,37.8471075,126.8813224,현대연립,연립,1989-05-18,3,2,48,,,10826,2022-11-09
임의,분양,금촌1동,금릉동 197-5,경기도 파주시 독암길 57(럭키빌라),37.7574332,126.7830976,럭키빌라,연립,1989-08-03,3,1,12,,,10932,2022-11-09
임의,분양,금촌3동,아동동 293-5,경기도 파주시 정담길 65-16,37.7700351,126.7757643,무궁화(다동),아파트,1989-10-24,5,1,30,031-944-9855,,10852,2022-11-09
임의,분양,금촌3동,아동동 294-4,경기도 파주시 정담길 65-19,37.7695831,126.7764879,"무궁화(가,나동)",아파트,1989-10-24,5,2,90,031-944-9855,,10853,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 158-2,경기도 파주시 조리읍 공릉장터길 41,37.7434572,126.8047822,프린스,아파트,1989-10-25,5,2,80,,,10937,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 157-40,경기도 파주시 조리읍 공릉장터길 39,37.743183,126.8051962,태양,아파트,1989-11-07,5,1,39,,,10937,2022-11-09
임의,분양,금촌3동,아동동 293-1,경기도 파주시 정담길 65-17,37.7702263,126.7761357,"무궁화(라,마동)",아파트,1989-12-07,5,2,67,031-944-9855,,10853,2022-11-09
의무,분양,금촌1동,아동동 329-6,경기도 파주시 중앙로 280,37.7610573,126.7773014,장안초원1차,아파트,1990-09-07,12,1,181,031-944-5653,,10930,2022-11-09
임의,분양,금촌1동,금촌동 768-1,경기도 파주시 마무리길 23,37.760753,126.7775821,홍우,아파트,1990-10-02,4,1,71,,,10930,2022-11-09
임의,분양,금촌3동,아동동 291-10/275-22,경기도 파주시 시청로 201,37.7707184,126.7762376,"무궁화(1,2동)",아파트,1990-10-27,5,2,110,031-944-8325,,10853,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 157-18,경기도 파주시 송비말길 64,37.742863,126.8046511,봉일천동원,아파트,1990-11-01,5,2,90,,,10937,2022-11-09
의무,분양,금촌1동,금촌동 781-2,경기도 파주시 중앙로 226,37.7574281,126.7805182,동현,아파트,1990-12-04,15,5,406,031-944-9694,,10932,2022-11-09
임의,분양,문산읍,문산읍 당동리 92-4,경기도 파주시 문산읍 봉미로 45,37.8634548,126.7840632,세아,아파트,1991-06-08,14,1,116,031-954-5843,,10821,2022-11-09
의무,분양,금촌1동,아동동 328-49,경기도 파주시 마무리길 40,37.7619138,126.7776175,장안초원2차,아파트,1991-09-11,8,2,176,031-944-6793,,10930,2022-11-09
임의,분양,조리읍,"조리읍 봉일천리 237-1,2",경기도 파주시 조리읍 두루봉로 13,37.7454982,126.809431,미림,아파트,1991-10-22,5,4,188,031-944-9303,,10938,2022-11-09
임의,분양,법원읍,법원읍 가야리 54-8,경기도 파주시 법원읍 사임당로 781,37.8504111,126.8673384,가야동원,아파트,1991-10-30,5,2,110,031-959-9844,,10826,2022-11-09
의무,분양,문산읍,문산읍 선유리 418,경기도 파주시 문산읍 독서울1길 24(문산선유주공),37.866606,126.803839,문산선유주공,아파트,1991-12-09,5,7,300,031-953-5352,1단지,10812,2022-11-09
의무,분양,문산읍,문산읍 문산리 17-29,경기도 파주시 문산읍 문향로 26,37.8539132,126.786571,한진1차,아파트,1992-05-30,15,2,240,031-953-1644,,10823,2022-11-09
임의,분양,법원읍,법원읍 가야리 29-2,경기도 파주시 법원읍 자운서원로 30,37.8524119,126.8704974,율곡1차,아파트,1993-04-24,10,1,63,031-958-6410,,10826,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 262-23,경기도 파주시 조리읍 두루봉로 31,37.7467893,126.8105881,태형미림,아파트,1993-05-10,15,1,142,031-944-9732,,10938,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 237-5,경기도 파주시 조리읍 두루봉로 25,37.7460591,126.8102843,윤창,아파트,1993-06-05,14,1,138,031-944-4507,,10938,2022-11-09
의무,분양,금촌3동,금촌동 11-7,"경기도 파주시 정담길 90(금촌동, 동문1차(101, 201동)아파트)",37.7708376,126.7741779,동문1차,아파트,1993-08-28,14~15,2,228,031-944-2920,,10852,2022-11-09
의무,분양,금촌1동,금촌동 51-49,"경기도 파주시 아동로 20(금촌동, 장안미래아파트)",37.7644502,126.7768437,장안아파트3차,아파트,1993-09-22,15,3,208,031-945-1995,,10930,2022-11-09
임의,분양,문산읍,문산읍 선유리 903-10,경기도 파주시 문산읍 봉미로6번길 15,37.861998,126.7873919,한진2차,아파트,1993-11-11,12,1,148,031-953-2393,,10814,2022-11-09
임의,분양,금촌1동,금촌동 794-2,경기도 파주시 금릉이길 23,37.7563403,126.7815268,장인연립,연립,1994-05-16,4,1,20,,,10932,2022-11-09
의무,분양,금촌2동,"금촌동 230-1,232-5","경기도 파주시 황골로 26 (금촌동, 대영장미1차(101동,102동)아파트)",37.7551055,126.771512,대영장미1차,아파트,1994-11-29,15,2,244,031-945-7583,,10921,2022-11-09
의무,분양,금촌2동,"금촌동 234-17, 234-8","경기도 파주시 한마음2길 5, 13(금촌동, 두보1차(101동,102동)아파트)",37.7557906,126.7726616,두보1차,아파트,1994-11-30,10~15,2,198,031-945-7473,,10925,2022-11-09
의무,분양,법원읍,법원읍 가야리 30-2,경기도 파주시 법원읍 자운서원로 36-29,37.8526652,126.8712594,안산율곡2차,아파트,1994-11-30,15,2,180,031-958-9350,,10826,2022-11-09
의무,분양,문산읍,"문산읍 문산리 10-92,10-93",경기도 파주시 문산읍 문산로26번길 14,37.8566645,126.7817475,호수,아파트,1995-06-26,15,2,336,031-953-8536,,10823,2022-11-09
임의,분양,광탄면,"광탄면 신산리 178-1,2",경기도 파주시 왕수물길 66,37.778279,126.8476745,대호연립,연립,1995-09-14,3,1,24,,,10948,2022-11-09
임의,분양,금촌3동,금촌동 16,경기도 파주시 정담길 80,37.7707908,126.7752263,"동문2차(301,501동)",아파트,1995-11-29,10~13,2,128,031-944-8979,,10852,2022-11-09
의무,분양,문산읍,문산읍 당동리 170-2,경기도 파주시 문산읍 당동1로 46,37.8636882,126.774512,세성,아파트,1995-12-07,13,3,204,031-953-5341,,10819,2022-11-09
임의,분양,금촌2동,"금촌동 234-20,-21",경기도 파주시 황골로 32,37.7551369,126.7723626,두보2차(103동),아파트,1996-03-18,15,1,98,031-945-7473,,10921,2022-11-09
임의,분양,금촌1동,금촌동 951-5,경기도 파주시 금정5길 20,37.7568564,126.7750804,장안하나,아파트,1996-06-13,15,1,108,031-945-2470,,10924,2022-11-09
의무,분양,금촌2동,금촌동 230-2,경기도 파주시 황골로 12,37.7551996,126.7704233,대영장미2차,아파트,1996-08-22,19,1,192,031-943-4963,,10921,2022-11-09
임의,분양,금촌3동,금촌동 399-1,경기도 파주시 금신초교길 45,37.7684636,126.7703024,삼산,아파트,1996-09-12,11,1,57,031-941-0306,,10854,2022-11-09
의무,분양,조리읍,조리읍 봉일천리 262,경기도 파주시 조리읍 두루봉로 37,37.7472651,126.8114065,태형내산마을,아파트,1996-11-29,18,2,227,031-943-5466,,10938,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 147-1,경기도 파주시 조리읍 고봉로 1016,37.7422678,126.8078875,조리동문1차,아파트,1996-11-29,20,1,118,031-943-7647,,10937,2022-11-09
임의,분양,문산읍,문산읍 문산리 33-8,경기도 파주시 문산읍 문향로17번길 39,37.8537262,126.7841662,문산율곡,아파트,1996-12-07,11,2,138,031-952-1567,,10823,2022-11-09
의무,분양,금촌2동,금촌동 922,경기도 파주시 한마음1길 25,37.7566381,126.7696993,파주금촌주공아파트1단지,아파트,1997-04-30,15,8,769,031-944-0889,,10926,2022-11-09
의무,분양,조리읍,조리읍 봉일천리 156-1,경기도 파주시 조리읍 송비말길 22,37.7424496,126.806531,성원,아파트,1997-05-10,20,2,347,031-941-6365,,10937,2022-11-09
의무,분양,금촌2동,금촌동 233-6,"경기도 파주시 황골로 22(금촌동, 대영장미3차아파트)",37.7545633,126.7711784,대영장미,아파트,1997-05-22,19,2,298,031-941-7680,,10921,2022-11-09
임의,분양,문산읍,문산읍 당동리 170-3,경기도 파주시 문산읍 당동1로 50-26,37.8640828,126.7751987,효형,아파트,1997-08-28,13,2,99,031-953-9235,,10819,2022-11-09
의무,분양,금촌1동,아동동 339,경기도 파주시 마무리길 22,37.7609154,126.7784738,장안5차미우,아파트,1997-09-25,15,3,206,031-945-6587,,10930,2022-11-09
의무,분양,금촌2동,금촌동 234-22,"경기도 파주시 황골로 40(금촌동, 두보3차(105동)아파트)",37.7554802,126.7729565,두보3차,아파트,1997-10-14,18,1,252,031-944-1935,,10921,2022-11-09
의무,분양,조리읍,조리읍 봉일천리 125-22,경기도 파주시 조리읍 통일로 306 (성호1차),37.7433597,126.8113578,성호1차,아파트,1997-11-07,24,2,282,031-943-6040,,10938,2022-11-09
임의,분양,파주읍,파주읍 파주리 126-1,경기도 파주시 파주읍 파발로26번길 12-5,37.8318542,126.819794,기용,아파트,1998-02-17,14,1,66,031-954-8022,,10835,2022-11-09
의무,분양,금촌3동,아동동 275-9,경기도 파주시 정담길 20,37.7686782,126.777673,파라다이스,아파트,1998-05-11,8~20,2,316,031-944-5796,,10853,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 150-26,경기도 파주시 조리읍 고봉로 1016,37.7422678,126.8078875,조리동문2차,아파트,1998-06-12,18,1,49,031-941-9323,,10937,2022-11-09
의무,분양,조리읍,조리읍 봉일천리 13-15,경기도 파주시 조리읍 통일로 153,37.7358001,126.8252595,송촌토파즈,아파트,1998-08-29,17~24,5,552,031-946-1173,,10939,2022-11-09
의무,분양,금촌2동,금촌동 228-1,"경기도 파주시 황골로 18 (금촌동, 건일장미5차아파트)",37.7545359,126.770179,건일장미5차,아파트,1998-12-07,19,1,226,031-946-4577,,10921,2022-11-09
임의,분양,탄현면,탄현면 법흥리 1566,경기도 파주시 탄현면 여치길 77,37.7708204,126.7023213,효자그린빌,연립,1998-12-15,3,15,282,031-944-5524,,10861,2022-11-09
의무,분양,금촌3동,금촌동 424-9,경기도 파주시 정담길 123,37.7701807,126.7731309,경신,아파트,1999-01-21,8~19,4,408,031-943-8022,,10852,2022-11-09
임의,분양,금촌3동,"금촌동 17-15.15-6,24-24",경기도 파주시 정담길 85-9,37.7703742,126.7754499,"동문3차(601, 701, 801동)",아파트,1999-09-07,9~13,3,123,031-945-7530,,10852,2022-11-09
의무,분양,금촌1동,금릉동 199-6,경기도 파주시 독암길 14,37.7550321,126.7836328,장안흰돌마을,아파트,2000-01-21,19~20,7,498,031-946-2857,,10932,2022-11-09
임의,분양,금촌1동,금촌동 792-1,경기도 파주시 문화로 10,37.7561536,126.7795076,장안밀레니엄,아파트,2000-02-01,20,1,139,031-943-5557,,10923,2022-11-09
의무,분양,금촌3동,검산동 130-8,"경기도 파주시 평화로 310(검산동, 성원아파트)",37.7721237,126.7484431,성원포레스타운,아파트,2000-04-29,15,14,656,031-944-5105,,10849,2022-11-09
의무,분양,조리읍,조리읍 대원리 992-1,경기도 파주시 조리읍 능안로 37,37.7418695,126.8003374,한라,아파트,2000-06-15,10~20,21,1202,031-946-3692,,10936,2022-11-09
의무,분양,조리읍,조리읍 대원리 218,경기도 파주시 조리읍 대원로 45,37.7267018,126.8160788,그린시티동문,아파트,2000-09-30,12~15,33,1759,031-946-2303,,10943,2022-11-09
의무,분양,금촌2동,금촌동 228-4외7,"경기도 파주시 황골로 6 (금촌동, 대영장미6차) ",37.7544816,126.7690473,장미6차,아파트,2000-10-27,19,1,259,031-948-2668,,10921,2022-11-09
의무,분양,법원읍,법원읍 법원리 674-2,경기도 파주시 법원읍 자운서원로 36-39,37.8521036,126.871985,율곡3차,아파트,2000-11-27,15,2,180,031-958-1590,,10826,2022-11-09
의무,분양,운정2동,목동동 2-117,"경기도 파주시 와석순환로 347 (와동동, 월드메르디앙1차아파트)",37.7133199,126.7523421,교하2차월드메르디앙,아파트,2001-04-13,11~17,18,1507,031-946-7195,,10893,2022-11-09
의무,분양,금촌3동,검산동 310,경기도 파주시 평화로348번길 50,37.7746807,126.7450287,유승,아파트,2001-05-02,14,10,550,031-946-8023,,10848,2022-11-09
의무,분양,조리읍,조리읍 봉일천리 258-3,경기도 파주시 조리읍 두루봉로 33-37,37.747985,126.810864,성호파크힐,아파트,2001-05-14,10~22,8,367,031-948-7155,,10938,2022-11-09
의무,분양,운정2동,목동동 2-110,"경기도 파주시 미래로 535(와동동, 현대1차아파트)",37.7249202,126.750005,교하1차 해솔마을3단지,아파트,2001-06-09,18~20,16,1274,031-948-6911,,10893,2022-11-09
의무,분양,운정3동,동패동 200-1외1필지,"경기도 파주시 동패로 117(동패동, 교하벽산아파트)",37.7129215,126.7402332,한울마을2단지,아파트,2001-06-30,11~15,19,1260,031-948-7031,,10902,2022-11-09
의무,분양,금촌3동,야동동 587,경기도 파주시 평화로 280,37.7739462,126.7508607,대방1차,아파트,2001-08-02,15,15,1080,031-947-9223,,10849,2022-11-09
의무,분양,운정1동,와동동 240,"경기도 파주시 금바위로 100(와동동, 운정1차동문아파트)",37.728733,126.755931,가람마을3단지 동문아파트,아파트,2001-09-15,15,17,902,031-947-6160,,10895,2022-11-09
의무,분양,운정1동,와동동 205,"경기도 파주시 금바위로 47(와동동, 가람마을8단지 동문굿모닝힐 운정2차)",37.7282646,126.7560196,가람마을8단지 동문굿모닝힐,아파트,2001-09-22,18~20,11,1225,031-947-3762,,10894,2022-11-09
의무,분양,금촌3동,아동동 283 외14필지,경기도 파주시 송화로 13,37.773034,126.775372,팜스프링,아파트,2001-09-27,14~25,31,2944,031-948-8668,,10851,2022-11-09
의무,분양,운정2동,목동동 114-37외 5필지,경기도 파주시 청암로 28,37.730854,126.7376841,산내마을8단지(월드2차),아파트,2001-11-29,10~15,19,1028,031-946-8773,월드메르디앙2차,10871,2022-11-09
의무,분양,문산읍,문산읍 당동리 871,경기도 파주시 문산읍 방촌로 1662 (당동주공2차),37.8619799,126.7812737,당동주공2차,아파트,2002-06-27,15,5,415,031-952-0235,,10820,2022-11-09
의무,임대,문산읍,문산읍 당동리 874,경기도 파주시 문산읍 방촌로 1660 (당동주공1차),37.861273,126.780592,당동주공1차,아파트,2002-06-27,15,5,567,031-952-7447,공공임대/50년,10820,2022-11-09
임의,분양,금촌2동,금촌동 255-5,"경기도 파주시 한마음2길 33(금촌동, 장미아파트)",37.755268,126.770997,장미7차,아파트,2002-07-26,11,1,62,031-941-0465,,10925,2022-11-09
의무,분양,운정2동,목동동 101,"경기도 파주시 와석순환로 307(목동동, 현대2차아이파크)",37.7256074,126.7397563,산내마을11단지 현대아이파크,아파트,2002-10-31,18,10,596,031-949-5867,,10892,2022-11-09
의무,분양,문산읍,문산읍 문산리 97,경기도 파주시 문산읍 독산로 11,37.8583522,126.7799334,장안8차,아파트,2003-04-23,18,5,368,031-954-0360,,10822,2022-11-09
의무,분양,운정3동,야당동 975,"경기도 파주시 한빛로 11(야당동, 한빛마을3단지 자유로아이파크)",37.712363,126.750848,한빛마을3단지 자유로아이파크,아파트,2004-09-02,15,16,1096,031-946-1441,,10907,2022-11-09
의무,분양,금촌2동,금촌동 972,"경기도 파주시 번영로 55(금촌동, 주공1단지 새꽃마을)",37.7550362,126.7703214,새꽃마을금촌주공뜨란채1단지,아파트,2004-10-22,15~20,20,1818,031-949-9377,,10914,2022-11-09
의무,임대,금촌2동,금촌동 984,"경기도 파주시 새꽃로 35(금촌동, 주공3단지 새꽃마을)",37.7550362,126.7703214,새꽃마을금촌주공뜨란채3단지,아파트,2004-10-25,15~19,10,1167,031-957-5123,국민임대/영구,10915,2022-11-09
의무,분양,금촌2동,금촌동 1003,"경기도 파주시 쇠재로 133(금촌동, 주공5단지 쇠재마을)",37.7531346,126.7756713,쇠재마을뜨란채,아파트,2004-11-11,15~23,16,1402,031-942-0613,,10919,2022-11-09
의무,분양,금촌2동,금촌동 1022,"경기도 파주시 새꽃로 10(금촌동, 주공6단지 후곡마을뜨란채)",37.7532305,126.7710123,후곡마을뜨란채,아파트,2004-11-11,14~20,9,688,031-941-6627,공공임대/5년분양전환완료,10917,2022-11-09
의무,분양,금촌2동,금촌동 992,"경기도 파주시 후곡로 50(금촌동, 주공4단지후곡마을)",37.7532305,126.7710123,후곡마을뜨란채,아파트,2004-11-15,15~22,21,1638,031-941-4157,,10920,2022-11-09
의무,분양,금촌2동,금촌동 1019,"경기도 파주시 쇠재로 30(금촌동, 주공7단지 서원마을)",37.7487512,126.7718913,서원마을뜨란채,아파트,2005-05-03,14~22,12,1133,031-957-8347,,10916,2022-11-09
임의,분양,교하동,문발동 505-2,"경기도 파주시 회동길 301(문발동, 헤르만하우스 1단지)",37.7156225,126.6903546,헤르만하우스,연립,2005-10-17,2,5,51,031-955-8688,,10881,2022-11-09
임의,분양,교하동,문발동 506-2,"경기도 파주시 회동길 290(문발동, 헤르만하우스 2단지)",37.7146227,126.6906323,헤르만하우스,연립,2005-10-17,2,9,86,031-955-8688,,10881,2022-11-09
의무,분양,금촌2동,금촌동 997(금촌택지C1BL),"경기도 파주시 후곡로 80(금촌동, 후곡마을중앙하이츠)",37.7512029,126.769818,후곡마을중앙하이츠,아파트,2005-11-18,20,4,316,031-943-6588,,10917,2022-11-09
의무,분양,금촌2동,금촌동 1008(금촌택지 C2),"경기도 파주시 후곡로 77 (금촌동, 풍림아이원)",37.7507586,126.7748175,금촌풍림아이원,아파트,2005-11-22,18~22,9,563,031-939-0101,,10918,2022-11-09
의무,임대,교하동,문발동 547,"경기도 파주시 숲속노을로 297(문발동, 노을빛마을주공아파트)",37.7260105,126.7084914,노을빛마을주공2단지,아파트,2005-11-30,8,24,1119,031-947-2082,국민임대,10879,2022-11-09
의무,분양,교하동,다율동 982,"경기도 파주시 청석로 350(다율동, 청석마을동문굿모닝힐아파트8단지)",37.726863,126.719717,청석마을8단지동문굿모닝힐아파트,아파트,2005-12-15,15,18,1026,031-949-8536,,10876,2022-11-09
의무,분양,교하동,동패동 1698,"경기도 파주시 책향기로 441(동패동, 책향기마을10단지동문굿모닝힐)",37.7245672,126.719602,책향기마을10단지 동문굿모닝힐,아파트,2005-12-15,15,16,1009,031-941-2812,책향기마을 10단지,10874,2022-11-09
의무,분양,교하동,문발동 560,"경기도 파주시 책향기로 337(문발동, 숲속길마을동문굿모닝힐아파트)",37.726863,126.719717,숲속길마을동문굿모닝힐,아파트,2005-12-19,15,8,382,031-942-3093,숲속길마을 3단지,10884,2022-11-09
의무,분양,교하동,동패동 1687,"경기도 파주시 책향기로 371(동패동, 숲속길마을동문굿모닝힐)",37.72434,126.7111592,숲속길마을6단지 동문굿모닝힐,아파트,2005-12-19,15,11,586,031-939-3946,,10885,2022-11-09
의무,분양,교하동,동패동 1702,"경기도 파주시 책향기로 448(동패동, 책향기마을진흥효자아파트)",37.723733,126.721601,책향기마을12단지 진흥효자,아파트,2005-12-22,15,8,439,031-949-5101,,10874,2022-11-09
의무,분양,교하동,동패동 1703,"경기도 파주시 책향기로 420(동패동, 책향기마을신동아파밀리에)",37.7235943,126.7186849,책향기마을11단지 신동아파밀리에,아파트,2005-12-28,15,7,366,031-941-9022,,10874,2022-11-09
의무,분양,광탄면,광탄면 신산리 683,경기도 파주시 광탄면 큰여울길 20-21,37.7797387,126.8497042,동신라메르,아파트,2005-12-30,13,2,164,031-949-4066,,10948,2022-11-09
의무,분양,교하동,동패동 1690,"경기도 파주시 책향기로 403(동패동, 숲속길마을월드메르디앙센트럴파크아파트)",37.72434,126.7111592,숲속길마을7단지 월드메르디앙센트럴파크,아파트,2006-01-12,15,7,480,031-943-5361,,10885,2022-11-09
의무,분양,교하동,동패동 1711,"경기도 파주시 책향기로 209 (동패동, 책향기마을우남퍼스트빌)",37.7202789,126.7191313,책향기마을14단지 우남퍼스트빌,아파트,2006-04-10,14,12,600,031-948-0612,,10874,2022-11-09
의무,분양,교하동,다율동 986,"경기도 파주시 청석로 300(다율동, 청석마을9단지대원효성아파트)",37.7284966,126.7192877,청석마을9단지 대원효성,아파트,2006-04-18,15,24,1240,031-957-9172,,10875,2022-11-09
의무,분양,금촌1동,"금릉동 196-2,3","경기도 파주시 금릉이길 31(금능동, 동양부로미아파트)",37.7570913,126.7819278,동양부로미,아파트,2006-04-20,18,2,182,031-943-5835,,10932,2022-11-09
