학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,중문학교명,영문학교명,주소,,,,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장(대학원장)명,"학교대표
번호","학교대표
팩스번호"
대학,0000139,수원가톨릭대학교,본교,대학교,경기,사립,고등교육법,광암학원,기존,水原加?立大?校,Suwon Catholic University,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교) ",경기도,화성시,봉담읍,"67, Wangnim 1-gil, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea","67, Wangnim 1-gil, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea",18332,1984-03-02,www.suwoncatholic.ac.kr,곽진상,031-290-8822,031-227-4526
대학,0000140,수원대학교,본교,대학교,경기,사립,고등교육법,고운학원,기존,水原大?敎,The University Of Suwon,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) ",경기도,화성시,봉담읍,"17, Wauan-gil, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea","17, Wauan-gil, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea",18323,1981-12-26,www.suwon.ac.kr,박철수,031-220-2114,02-745-8545
대학,0000145,아신대학교,본교,대학교,경기,사립,고등교육법,아세아연합신학대학원,기존,?神大?校,ACTS University,경기도 양평군 옥천면 경강로 1276 아신대학교,경기도,양평군,옥천면,"1276, Gyeonggang-ro, Okcheon-myeon, Yangpyeong-gun, Gyeonggi-do","1276, Gyeonggang-ro, Okcheon-myeon, Yangpyeong-gun, Gyeonggi-do",12508,1981-12-26,www.acts.ac.kr,정홍열,031-770-7700,031-772-5479
대학,0000146,아주대학교,본교,대학교,경기,사립,고등교육법,대우학원,기존,?洲大?校,Ajou University,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교) ",경기도,수원시,영통구,"206, World cup-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea","206, World cup-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea",16499,1973-03-15,www.ajou.ac.kr,박형주,031-219-2114,031-213-5158
대학,0000147,안양대학교,본교,대학교,경기,사립,고등교육법,우일학원,기존,安?大?校,Anyang University,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교) ",경기도,안양시,만안구,"22, Samdeok-ro 37beon-gil, Manan-gu, Anyang-si, Gyeonggi-do, Republic of Korea","22, Samdeok-ro 37beon-gil, Manan-gu, Anyang-si, Gyeonggi-do, Republic of Korea",14028,1948-09-17,www.anyang.ac.kr/main.do,박노준,031-467-0700,031-467-0778
대학,0000156,용인대학교,본교,대학교,경기,사립,고등교육법,단호학원,기존,?仁大?校,Yong In University,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교) ",경기도,용인시,처인구,"134, Yongindaehak-ro, Cheoin-gu, Yongin-si, Gyeonggi-do, Republic of Korea","134, Yongindaehak-ro, Cheoin-gu, Yongin-si, Gyeonggi-do, Republic of Korea",17092,1953-06-15,www.yongin.ac.kr,한진수,031-8020-3114,031-332-6479
대학,0000162,을지대학교,제2캠퍼스,대학교,경기,사립,고등교육법,을지학원,기존,乙支大?校,Eulji University,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교) ",경기도,성남시,수정구,"553, Sanseong-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","553, Sanseong-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",13135,1967-03-21,www.eulji.ac.kr,홍성희,031-740-7424,031-740-7469
대학,0000174,중앙대학교,제2캠퍼스,대학교,경기,사립,고등교육법,중앙대학교,기존,中央大?,Chung-Ang University,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교) ",경기도,안성시,대덕면,"4726, Seodong-daero, Daedeok-myeon, Anseong-si, Gyeonggi-do, Republic of Korea","4726, Seodong-daero, Daedeok-myeon, Anseong-si, Gyeonggi-do, Republic of Korea",17546,1918-04-01,www.cau.ac.kr,박상규,031-670-3114~4114,031-675-1390
대학,0000177,중앙승가대학교,본교,대학교,경기,사립,고등교육법,승가학원,기존,中央僧伽大?,Joong-Ang Sangha University,"경기도 김포시 승가로 147 (풍무동, 중앙승가대학) ",경기도,김포시,승가로,"147, Seungga-ro, Gimpo-si, Gyeonggi-do, Republic of Korea","147, Seungga-ro, Gimpo-si, Gyeonggi-do, Republic of Korea",10118,1979-03-18,admission.sangha.ac.kr,원종스님,031-980-7709,031-980-7778
대학,0000184,칼빈대학교,본교,대학교,경기,사립,고등교육법,칼빈신학원,기존,加?文大?,Calvin University,"경기도 용인시 기흥구 마북로 184 (마북동, 칼빈대학교) ",경기도,용인시,기흥구,"184, Mabuk-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea","184, Mabuk-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea",16911,1997-03-03,www.calvin.ac.kr,김근수,031-284-4753,031-284-4588
대학,0000186,평택대학교,본교,대학교,경기,사립,고등교육법,피어선기념학원,기존,平?大?,Pyeongtaek University,"경기도 평택시 서동대로 3825 (용이동, 평택대학교) ",경기도,평택시,서동대로,"3825, Seodong-daero, Pyeongtaek-si, Gyeonggi-do, Republic of Korea","3825, Seodong-daero, Pyeongtaek-si, Gyeonggi-do, Republic of Korea",17869,1990-11-28,www.ptu.ac.kr,김문기(직무대행),031-659-8114,031-659-8011
대학,0000187,차의과학대학교,본교,대학교,경기,사립,고등교육법,성광학원,기존,??科?大?校 ,CHA University,"경기도 포천시 해룡로 120 (동교동, 포천중문의과대학) 차의과학대학교",경기도,포천시,해룡로,"120, Haeryong-ro, Pocheon-si, Gyeonggi-do, Republic of Korea","120, Haeryong-ro, Pocheon-si, Gyeonggi-do, Republic of Korea",11160,1996-12-11,www.cha.ac.kr,김동익,1899-2010,031)543-2716
대학,0000194,한국항공대학교,본교,대학교,경기,사립,고등교육법,정석인하학원,기존,??航空大?,Korea Aerospace University,"경기도 고양시 덕양구 항공대학로 76 (화전동, 한국항공대학교) ",경기도,고양시,덕양구,"76, Hanggongdaehak-ro, Deogyang-gu, Goyang-si, Gyeonggi-do, Republic of Korea","76, Hanggongdaehak-ro, Deogyang-gu, Goyang-si, Gyeonggi-do, Republic of Korea",10540,1952-06-16,www.kau.ac.kr,허희영,02-300-0114,02-3158-5769
대학,0000201,한세대학교,본교,대학교,경기,사립,고등교육법,한세대학교,기존,?世大?,Hansei University,경기도 군포시 한세로 30 (당정동) ,경기도,군포시,한세로,"30, Hanse-ro, Gunpo-si, Gyeonggi-do, Republic of Korea","30, Hanse-ro, Gunpo-si, Gyeonggi-do, Republic of Korea",15852,1953-05-10,www.hansei.ac.kr,김정일(직무대행),031-450-5114,031-450-5124
대학,0000202,한신대학교,본교,대학교,경기,사립,고등교육법,한신학원,기존,?信大?,Hanshin University,"경기도 오산시 한신대길 137 (양산동, 한신대학교) ",경기도,오산시,한신대길,"137, Hanshindae-gil, Osan-si, Gyeonggi-do, Republic of Korea","137, Hanshindae-gil, Osan-si, Gyeonggi-do, Republic of Korea",18101,1940-04-19,www.hs.ac.kr,강성영,031-379-0114,031-379-0039
대학,0000204,한양대학교(ERICA),분교,대학교,경기,사립,고등교육법,한양학원,기존,??大?ERICA校?,Hanyang University Erica Campus,"경기도 안산시 상록구 한양대학로 55 (사동, 한양대학교) ",경기도,안산시,상록구,"55, Hanyangdaehak-ro, Sangnok-gu, Ansan-si, Gyeonggi-do, Republic of Korea","55, Hanyangdaehak-ro, Sangnok-gu, Ansan-si, Gyeonggi-do, Republic of Korea",15588,1979-01-10,www.hanyang.ac.kr,김우승,031-400-5114,031-406-2809
대학,0000207,협성대학교,본교,대학교,경기,사립,고등교육법,삼일학원,기존,?成大?校,Hyupsunguniversity,"경기도 화성시 봉담읍 최루백로 72 (상리, 협성대학교) ",경기도,화성시,봉담읍,"72, Choerubaek-ro, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea","72, Choerubaek-ro, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea",18330,1983-03-04,www.uhs.ac.kr,박명래,031-299-0900,031-227-3131
대학,0000219,예원예술대학교,제2캠퍼스,대학교,경기,사립,고등교육법,예원예술대학교,기존,?苑??大?校,Yewon Arts University,경기도 양주시 은현면 예원대학로 56 ,경기도,양주시,은현면,"56, Yewondaehak-ro, Eunhyeon-myeon, Yangju-si, Gyeonggi-do","56, Yewondaehak-ro, Eunhyeon-myeon, Yangju-si, Gyeonggi-do",11429,2014-03-01,www.yewon.ac.kr,김홍대,031-869-0526,031-859-8114
대학,0000233,신경대학교,본교,대학교,경기,사립,고등교육법,신경학원,기존,新京大?校,Shingyeong University,"경기도 화성시 남양읍 남양중앙로 400-5 (남양리, 신경대학교) ",경기도,화성시,남양읍,"400-5, Namyangjungang-ro, Namyang-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea","400-5, Namyangjungang-ro, Namyang-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea",18274,2004-04-07,www.sgu.ac.kr/,유진우,031-369-9112,031-369-9116
대학,0000247,한국공학대학교,본교,대학교,경기,사립,고등교육법,한국산업기술대학,기존,??工?大?校,Tech University of Korea,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교) ",경기도,시흥시,산기대학로,"237, Sangidaehak-ro, Siheung-si, Gyeonggi-do, Republic of Korea","237, Sangidaehak-ro, Siheung-si, Gyeonggi-do, Republic of Korea",15073,2012-03-01,www.kpu.ac.kr,박건수,031-8041-1000,031-8041-0009
대학,0000257,경인교육대학교,제2캠퍼스,교육대학,경기,국립,고등교육법,해당없음,기존,京仁?育大?校,Gyeongin National University Of Education,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교) ",경기도,안양시,만안구,"155, Sammak-ro, Manan-gu, Anyang-si, Gyeonggi-do, Republic of Korea","155, Sammak-ro, Manan-gu, Anyang-si, Gyeonggi-do, Republic of Korea",13910,2005-03-01,www.ginue.ac.kr,고대혁,031-470-6114,031-470-6139
전문대학,0000416,경민대학교,본교,전문대학,경기,사립,고등교육법,경민학원,기존,?旼大?校,Kyungmin University,"경기도 의정부시 서부로 545 (가능동, 경민대학) ",경기도,의정부시,서부로,"545, Seobu-ro, Uijeongbu-si, Gyeonggi-do, Republic of Korea","545, Seobu-ro, Uijeongbu-si, Gyeonggi-do, Republic of Korea",11618,1992-03-02,www.kyungmin.ac.kr,이연신,031-828-7722,031-828-7733
전문대학,0000426,계원예술대학교,본교,전문대학,경기,사립,고등교육법,계원학원,기존,桂園??大?校,Kaywon University Of Art &  Design,"경기도 의왕시 계원대학로 66 (내손동, 계원예술대학교) ",경기도,의왕시,계원대학로,"66, Gyewondaehak-ro, Uiwang-si, Gyeonggi-do, Republic of Korea","66, Gyewondaehak-ro, Uiwang-si, Gyeonggi-do, Republic of Korea",16038,1993-03-01,www.kaywon.ac.kr,권창현,031-420-1700,031-420-1729
전문대학,0000440,김포대학교,본교,전문대학,경기,사립,고등교육법,김포대학,기존,金浦大?,Kimpo University,"경기도 김포시 월곶면 김포대학로 97 (포내리, 김포대학교) ",경기도,김포시,월곶면,"97, Gimpodaehak-ro, Wolgot-myeon, Gimpo-si, Gyeonggi-do, Republic of Korea","97, Gimpodaehak-ro, Wolgot-myeon, Gimpo-si, Gyeonggi-do, Republic of Korea",10020,1996-03-01,ukp.ac.kr,박진영,031-999-4725,031-989-4389
전문대학,0000441,농협대학교,본교,전문대학,경기,사립,고등교육법,농협학원,기존,??大?,Agricultural Cooperative University,"경기도 고양시 덕양구 서삼릉길 281 (원당동, 농협대학) ",경기도,고양시,덕양구,"281, Seosamneung-gil, Deogyang-gu, Goyang-si, Gyeonggi-do, Republic of Korea","281, Seosamneung-gil, Deogyang-gu, Goyang-si, Gyeonggi-do, Republic of Korea",10292,1962-12-28,www.nonghyup.ac.kr,최상목,031-960-4000,031-960-4333
전문대학,0000448,대림대학교,본교,전문대학,경기,사립,고등교육법,대림학원,기존,大林大?,Daelim University College,"경기도 안양시 동안구 임곡로 29 (비산동, 대림대학교) ",경기도,안양시,동안구,"29, Imgok-ro, Dongan-gu, Anyang-si, Gyeonggi-do, Republic of Korea","29, Imgok-ro, Dongan-gu, Anyang-si, Gyeonggi-do, Republic of Korea",13916,1977-06-24,www.daelim.ac.kr,황운광,031-467-4756,031-446-8729
전문대학,0000450,동서울대학교,본교,전문대학,경기,사립,고등교육법,학산학원,기존,?首?大?校,Dong Seoul University,"경기도 성남시 수정구 복정로 76 (복정동, 동서울대학) ",경기도,성남시,수정구,"76, Bokjeong-ro, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","76, Bokjeong-ro, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",13117,1978-03-15,www.du.ac.kr,유광섭,031-720-2114,031-721-1999
전문대학,0000457,동남보건대학교,본교,전문대학,경기,사립,고등교육법,동남학원,기존,?南保健大?,Dongnam Health University,"경기도 수원시 장안구 천천로74번길 50 (정자동, 동남보건전문대학) ",경기도,수원시,장안구,"50, Cheoncheon-ro 74beon-gil, Jangan-gu, Suwon-si, Gyeonggi-do, Republic of Korea","50, Cheoncheon-ro 74beon-gil, Jangan-gu, Suwon-si, Gyeonggi-do, Republic of Korea",16328,1973-10-18,www.dongnam.ac.kr,김종완,031-249-6333,031-249-6349
전문대학,0000461,동아방송예술대학교,본교,전문대학,경기,사립,고등교육법,공산학원,기존,??放送??大?,Dong-Ah Institute Of Media And Arts,"경기도 안성시 삼죽면 동아예대길 47 (진촌리, 동아방송예술대학교) ",경기도,안성시,삼죽면,"47, Dongayedae-gil, Samjuk-myeon, Anseong-si, Gyeonggi-do, Republic of Korea","47, Dongayedae-gil, Samjuk-myeon, Anseong-si, Gyeonggi-do, Republic of Korea",17516,1996-12-26,www.dima.ac.kr,최용혁,031-670-6600,031-670-6879
전문대학,0000465,동원대학교,본교,전문대학,경기,사립,고등교육법,동원학원,기존,?元大?,Tongwon University,"경기도 광주시 곤지암읍 경충대로 26 (신촌리, 동원대학) ",경기도,광주시,곤지암읍,"26, Gyeongchung-daero, Gonjiam-eup, Gwangju-si, Gyeonggi-do, Republic of Korea","26, Gyeongchung-daero, Gonjiam-eup, Gwangju-si, Gyeonggi-do, Republic of Korea",12813,1995-12-27,www.tw.ac.kr,이걸우,1544-4114,031-763-9149
전문대학,0000469,두원공과대학교,본교,전문대학,경기,사립,고등교육법,두원학원,기존,斗源工科大?校,Doowon Technical University,"경기도 안성시 죽산면 관음당길 51 (장원리, 두원공과대학교) ",경기도,안성시,죽산면,"51, Gwaneumdang-gil, Juksan-myeon, Anseong-si, Gyeonggi-do, Republic of Korea","51, Gwaneumdang-gil, Juksan-myeon, Anseong-si, Gyeonggi-do, Republic of Korea",17520,1994-03-01,www.doowon.ac.kr,조병섭,031-8056-7000,031-8056-7100
전문대학,0000482,부천대학교,본교,전문대학,경기,사립,고등교육법,한길학원,기존,富川大?校,Bucheon University,"경기도 부천시 원미구 신흥로56번길 25 (심곡동, 부천대학) ",경기도,부천시,원미구,"25, Sinheung-ro 56beon-gil, Bucheon-si, Gyeonggi-do, Republic of Korea","25, Sinheung-ro 56beon-gil, Bucheon-si, Gyeonggi-do, Republic of Korea",14632,1979-03-08,www.bc.ac.kr,한정석,032-610-0114,032-663-0114
전문대학,0000489,서울예술대학교,본교,전문대학,경기,사립,고등교육법,동랑예술원,기존,首???大?,Seoul Institute Of The Arts,"경기도 안산시 단원구 예술대학로 171 (고잔동, 서울예술대학) ",경기도,안산시,단원구,"171, Yesuldaehak-ro, Danwon-gu, Ansan-si, Gyeonggi-do, Republic of Korea","171, Yesuldaehak-ro, Danwon-gu, Ansan-si, Gyeonggi-do, Republic of Korea",15263,1962-04-12,www.seoularts.ac.kr,이남식,031-412-7100,031-412-7149
전문대학,0000496,수원여자대학교,본교,전문대학,경기,사립,고등교육법,수원인제학원,기존,水原女子大?,Suwon Women'S University,"경기도 수원시 권선구 온정로 72 (오목천동, 수원여자대학) ",경기도,수원시,권선구,"72, Onjeong-ro, Gwonseon-gu, Suwon-si, Gyeonggi-do, Republic of Korea","72, Onjeong-ro, Gwonseon-gu, Suwon-si, Gyeonggi-do, Republic of Korea",16632,1969-03-01,www.swc.ac.kr,장기원,031-290-8042,031-290-8297
전문대학,0000497,수원과학대학교,본교,전문대학,경기,사립,고등교육법,고운학원,기존,水原科?大?校,Suwon Science College,"경기도 화성시 정남면 세자로 288 (보통리, 수원과학대학) ",경기도,화성시,정남면,"288, Seja-ro, Jeongnam-myeon, Hwaseong-si, Gyeonggi-do, Republic of Korea","288, Seja-ro, Jeongnam-myeon, Hwaseong-si, Gyeonggi-do, Republic of Korea",18516,1978-03-01,www.ssc.ac.kr/index.jsp,정원섭,031-350-2000,031-354-8988
전문대학,0000501,신구대학교,본교,전문대학,경기,사립,고등교육법,신구학원,기존,新丘大?校,Shingu College,"경기도 성남시 중원구 광명로 377 (금광동, 신구대학) ",경기도,성남시,중원구,"377, Gwangmyeong-ro, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","377, Gwangmyeong-ro, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",13174,1973-12-19,www.shingu.ac.kr,이숭겸,031-740-1114,031-734-0905
전문대학,0000506,신안산대학교,본교,전문대학,경기,사립,고등교육법,순효학원,기존,新安山大?校,Shin Ansan University,"경기도 안산시 단원구 신안산대학로 135 (초지동, 신안산대학교) ",경기도,안산시,단원구,"135, Sinansandaehak-ro, Danwon-gu, Ansan-si, Gyeonggi-do, Republic of Korea","135, Sinansandaehak-ro, Danwon-gu, Ansan-si, Gyeonggi-do, Republic of Korea",15435,1994-04-30,www.sau.ac.kr,강성락,031-490-6000,031-495-7828
전문대학,0000507,안산대학교,본교,전문대학,경기,사립,고등교육법,새빛학원,기존,安山大?校,Ansan University,"경기도 안산시 상록구 안산대학로 155 (일동, 안산대학교) ",경기도,안산시,상록구,"155, Ansandaehak-ro, Sangnok-gu, Ansan-si, Gyeonggi-do, Republic of Korea","155, Ansandaehak-ro, Sangnok-gu, Ansan-si, Gyeonggi-do, Republic of Korea",15328,1973-03-01,www.ansan.ac.kr,안규철,"031-400-6900, 7000",031-419-8390
전문대학,0000510,여주대학교,본교,전문대학,경기,사립,고등교육법,동신교육재단,기존,?州大?校 ,Yeoju Institute Of Technology,"경기도 여주시 세종로 338 (교동, 여주대학교) ",경기도,여주시,세종로,"338, Sejong-ro, Yeoju-si, Gyeonggi-do, Republic of Korea","338, Sejong-ro, Yeoju-si, Gyeonggi-do, Republic of Korea",12652,1993-03-01,www.yit.ac.kr,고기채,031-880-5000,031-883-5113
전문대학,0000520,용인예술과학대학교,본교,전문대학,경기,사립,고등교육법,송담학원,기존,?仁??科?大?校,Yong-In Arts & Science University,"경기도 용인시 처인구 동부로 61 (마평동, 용인송담대학교) ",경기도,용인시,처인구,"61, Dongbu-ro, Cheoin-gu, Yongin-si, Gyeonggi-do, Republic of Korea","61, Dongbu-ro, Cheoin-gu, Yongin-si, Gyeonggi-do, Republic of Korea",17145,1994-11-17,www.ysc.ac.kr,최성식,031-330-9000,031-336-9535
전문대학,0000524,유한대학교,본교,전문대학,경기,사립,고등교육법,유한학원,기존,柳韓大?校,Yuhan University,"경기도 부천시 소사구 경인로 590 (괴안동, 유한대학) ",경기도,부천시,소사구,"590, Gyeongin-ro, Bucheon-si, Gyeonggi-do, Republic of Korea","590, Gyeongin-ro, Bucheon-si, Gyeonggi-do, Republic of Korea",14780,1978-03-18,www.yuhan.ac.kr,김현중,02-2610-0600,02-2614-6398
전문대학,0000527,장안대학교,본교,전문대학,경기,사립,고등교육법,서림학원,기존,?安大?,Jangan College,"경기도 화성시 봉담읍 삼천병마로 1182 (상리, 장안대학) ",경기도,화성시,봉담읍,"1182, Samcheonbyeongma-ro, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea","1182, Samcheonbyeongma-ro, Bongdam-eup, Hwaseong-si, Gyeonggi-do, Republic of Korea",18331,1979-03-10,www.jangan.ac.kr,김태일,031-299-3000,031-227-1953
전문대학,0000544,청강문화산업대학교,본교,전문대학,경기,사립,고등교육법,청강학원,기존,靑江文化??大?校,Chungkang College Of Cultural Industries,"경기도 이천시 마장면 청강가창로 389-94 (해월리, 청강문화산업대학) ",경기도,이천시,마장면,"389-94, Cheongganggachang-ro, Majang-myeon, Icheon-si, Gyeonggi-do, Republic of Korea","389-94, Cheongganggachang-ro, Majang-myeon, Icheon-si, Gyeonggi-do, Republic of Korea",17390,1996-03-08,www.ck.ac.kr,황봉성,031-637-1114,031-639-5727
전문대학,0000549,국제대학교,본교,전문대학,경기,사립,고등교육법,국제대학,기존,??大?校,Kookje University,"경기도 평택시 장안웃길 56 (장안동, 국제대학교) ",경기도,평택시,장안웃길,"56, Janganut-gil, Pyeongtaek-si, Gyeonggi-do, Republic of Korea","56, Janganut-gil, Pyeongtaek-si, Gyeonggi-do, Republic of Korea",17731,1997-03-01,www.kookje.ac.kr,임지원(직무대행),031-610-8000,031-668-4900
전문대학,0000560,경기과학기술대학교,본교,전문대학,경기,사립,고등교육법,한국산업기술대학,기존,京畿科?技?大?,Gyeonggi University Of Science And Technology,"경기도 시흥시 경기과기대로 269 (정왕동, 경기과학기술대학교) ",경기도,시흥시,경기과기대로,"269, Gyeonggigwagidae-ro, Siheung-si, Gyeonggi-do, Republic of Korea","269, Gyeonggigwagidae-ro, Siheung-si, Gyeonggi-do, Republic of Korea",15073,1998-11-28,www.gtec.ac.kr,이진식,031-496-4532,031-496-9024
