ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,MANAGE_NO,FLAG_NM,TY_NM,PARKNG_SPCE_CO,MANAGE_FLAG_NM,UTILIIZA_LMTT_FLAG_NM,WKDAY_NM,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,UTILIIZA_CHRGE_CN,BASS_TIME,BASS_PRICE,ADIT_UNIT_TIME,ADIT_UNIT_PRICE,ONE_DAY_PARKNG_VLM_TIME,ONE_DAY_PARKNG_VLM_PRICE,MT_FDRM_PRICE,SETLE_MTH_CN,ADIT_DC,MANAGE_INSTT_NM,TEL_NO,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE,PROVD_INSTT_NM1,PROVD_INSTT_NM2,RDNMADR_NM1,RDNMADR_NM2,RDNMADR_NM3,RDNMADR_NM4,RDNMADR_NM5,sigu_name
KC490PC22N000263,장소,주차장,북변자주식 공영주차장,경기,김포시,4157010100,북변동,4157051500,김포본동,4.16E+11,경기도 김포시 봉화로 182번길 18(북변동),10101,다사296590,126.7027057,37.62834258,232-2-000018,공영,노외,70,1,미시행,평일+토요일,9:00,23:59,9:00,23:59,0:00,0:00,유료,30,600,10,300,,7000,80000,신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,봉화로,182번길,18(북변동),김포시
KC490PC22N000272,장소,주차장,사우5구역 노상주차장,경기,김포시,4157010600,사우동,4157054000,사우동,4.16E+11,경기도 김포시 봉화로 3-22,10109,다사308577,126.7162677,37.61701396,232-1-000008,공영,노상,92,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,봉화로,03월 22일,,김포시
KC490PC22N000273,장소,주차장,고촌 노상주차장,경기도,김포시,4711133021,고촌읍,4711133000,고촌읍,4.16E+11,경기도 김포시 고촌읍 김포대로 323,10129,다사357557,126.7716423,37.59903325,232-1-000010,공영,노상,16,1,미시행,평일+토요일,10:00,22:00,10:00,22:00,0:00,0:00,유료,30,600,10,300,,,,,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,고촌읍,김포대로,323,김포시
KC490PC22N000628,장소,주차장,철산동 상업지역 제2노상,경기도,광명시,4121010200,철산동,4121061000,철산3동,4.12E+11,경기도 광명시 오리로856번길 5-1,14240,다사440419,126.8675952,37.4750458,213-1-000002,공영,노상,69,1,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,30,600,10,200,,,,신용카드,경차+장애인차량50할인,경기도 광명시 광명도시공사,02-2610-7390,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,오리로856번길,05월 01일,,광명시
KC490PC22N000629,장소,주차장,하안동 상업지역 제1노상,경기도,광명시,4121010300,하안동,4121063400,하안4동,4.12E+11,경기도 광명시 범안로 1055,14247,다사452406,126.8805982,37.46355927,213-1-000004,공영,노상,94,1,미시행,평일,10:00,19:00,0:00,0:00,0:00,0:00,유료,30,600,10,200,,,,신용카드,경차+장애인차량50할인,경기도 광명시 광명도시공사,02-2610-7390,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,범안로,1055,,광명시
KC490PC22N000630,장소,주차장,자동차경매장 주변 노상,경기도,광명시,4121010300,하안동,4121063100,하안1동,4.12E+11,경기도 광명시 오리로651번길 11,14303,다사449400,126.8773035,37.45781224,213-1-000006,공영,노상,29,1,미시행,평일,10:00,19:00,0:00,0:00,0:00,0:00,유료,30,600,10,200,,,,신용카드,경차+장애인차량50할인,경기도 광명시 광명도시공사,02-2610-7390,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,오리로651번길,11,,광명시
KC490PC22N000631,장소,주차장,목감천변 노상,경기도,광명시,4711332026,광명동,4711332000,광명2동,4.12E+11,경기도 광명시 목감로 220,14201,다사433432,126.8591668,37.48719746,213-1-000008,공영,노상,124,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 광명시 광명도시공사,02-2680-6499,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,목감로,220,,광명시
KC490PC22N000632,장소,주차장,하안동 철골 노외,경기도,광명시,4121010300,하안동,4121063300,하안3동,4.12E+11,경기도 광명시 하안로 293-5,14305,다사451404,126.8798972,37.46146612,213-2-000003,공영,노외,88,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,200,24,7500,110000,현금+신용카드,경차+장애인차량50할인,경기도 광명시 광명도시공사,02-2610-7390,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,하안로,293-5,,광명시
KC490PC22N000633,장소,주차장,소하동 제2노외,경기도,광명시,4121010400,소하동,4121064000,소하1동,4.12E+11,경기도 광명시 오리로 514,14316,다사453389,126.882324,37.4477776,213-2-000006,공영,노외,58,1,미시행,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,30,600,10,200,24,7500,75000,현금+신용카드,경차+장애인차량50할인,경기도 광명시 도시교통과,02-2680-6499,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,오리로,514,,광명시
KC490PC22N000634,장소,주차장,소하동 제4노외,경기도,광명시,4121010400,소하동,4121064000,소하1동,4.12E+11,경기도 광명시 소하로 81,14316,다사455388,126.8840264,37.44723629,213-2-000008,공영,노외,52,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,200,24,7500,110000,신용카드,경차+장애인차량50할인,경기도 광명시 도시교통과,02-2680-6499,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,소하로,81,,광명시
KC490PC22N000635,장소,주차장,광명3동 넝쿨길,경기도,광명시,4711334021,광명동,4711334000,광명3동,4.12E+11,경기도 광명시 광명로928번길 42-19,14217,다사433424,126.8597361,37.47977361,213-2-000012,공영,노외,6,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,,,,,,70000,현금,경차+장애인차량50할인,경기도 광명시 광명3동주민센터,02-2680-6603,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,광명로928번길,42-19,,광명시
KC490PC22N000636,장소,주차장,광명3동 35-16 일원,경기도,광명시,4711334021,광명동,4711334000,광명3동,4.12E+11,경기도 광명시 오리로942번길 14,14217,다사433423,126.8591727,37.47854302,213-2-000014,공영,노외,11,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,,,,,,70000,현금,경차+장애인차량50할인,경기도 광명시 광명3동주민센터,02-2680-6603,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,오리로942번길,14,,광명시
KC490PC22N000637,장소,주차장,광명5동 한진1길,경기도,광명시,4711334021,광명동,4711334000,광명5동,4.12E+11,경기도 광명시 광명로865번안길 3-4,14288,다사425422,126.8506449,37.4775167,213-2-000016,공영,노외,4,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,,,,,,70000,현금,경차+장애인차량50할인,경기도 광명시 광명5동주민센터,02-2680-6605,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,광명로865번안길,03월 04일,,광명시
KC490PC22N000638,장소,주차장,철산동 삼각주마을 제2공영주차장,경기도,광명시,4121010200,철산동,4121059000,철산1동,4.12E+11,경기도 광명시 안양천로502번길 12,14223,다사441441,126.8684859,37.49455394,213-2-000020,공영,노외,22,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,,,,,,40000,현금,경차+장애인차량50할인,경기도 광명시 철산1동주민센터,02-2680-6608,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,안양천로502번길,12,,광명시
KC490PC22N000639,장소,주차장,광명전통시장공영주차장,경기도,광명시,4711312000,광명동,4711369000,광명2동,4.12E+11,경기도 광명시 광명로 938,14219,다사430427,126.8560935,37.4823344,213-3-000002,공영,부설,77,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,500,,,105000,신용카드,경차+장애인차량50할인,경기도 광명시 광명시장상점가 진흥사업협동조합,02-2614-0006,2022-10-28,3900000,경기도 광명시,20221028,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221028,경기도,광명시,경기도,광명시,광명로,938,,광명시
KC490PC22N000729,장소,주차장,공단로노상주차장,경기도,군포시,4141010500,금정동,4141056000,금정동,4.14E+11,경기도 군포시 군포로 617,15830,다사508301,126.9453058,37.36941408,225-1-000051,공영,노상,94,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,군포로,617,,군포시
KC490PC22N000746,장소,주차장,곡란로 노상주차장,경기도,군포시,4141010400,산본동,4141055000,산본2동,4.14E+11,경기도 군포시 곡란로 95,15802,다사499306,126.9348078,37.3735678,225-1-000048,공영,노상,21,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,곡란로,95,,군포시
KC490PC22N000747,장소,주차장,수리산역 주차장,경기도,군포시,4141010400,산본동,4141059000,수리동,4.14E+11,경기도 군포시 번영로 373,15869,다사490279,126.924821,37.348838,225-1-000037,공영,노상,268,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,번영로,373,,군포시
KC490PC22N000748,장소,주차장,대야제1공영주차장,경기도,군포시,4141010800,대야미동,4141061000,대야동,4.14E+11,경기도 군포시 대야2로55번안길 5-1,15886,다사482261,126.916164,37.33267696,225-2-000051,공영,노외,12,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,대야2로55번안길,05월 01일,,군포시
KC490PC22N000749,장소,주차장,대야제3공영주차장,경기도,군포시,4141010800,대야미동,4141061000,대야동,4.14E+11,경기도 군포시 대야2로 139,15886,다사481258,126.914931,37.33039017,225-2-000053,공영,노외,24,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,대야2로,139,,군포시
KC490PC22N000750,장소,주차장,대야제5공영주차장,경기도,군포시,4141010800,대야미동,4141061000,대야동,4.14E+11,경기도 군포시 대야1로22번길 24,15887,다사485257,126.9191191,37.329095,225-2-000055,공영,노외,43,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,대야1로22번길,24,,군포시
KC490PC22N000751,장소,주차장,당말공영주차장,경기도,군포시,4141010100,당동,4141051000,군포1동,4.14E+11,경기도 군포시 산본로249번길 15,15857,다사505286,126.9416824,37.355758,225-2-000034,공영,노외,26,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,산본로249번길,15,,군포시
KC490PC22N000752,장소,주차장,행복2공영주차장,경기도,군포시,4141010400,산본동,4141055000,산본2동,4.14E+11,경기도 군포시 산본로372번길 6,15818,다사497295,126.9319591,37.36392717,225-2-000058,공영,노외,147,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,경기도 군포시청,031-390-0705,2022-10-25,4020000,경기도 군포시,20221025,공공데이터포털,KC_490_WNTY_PRKLT_2022,20221025,경기도,군포시,경기도,군포시,산본로372번길,6,,군포시
